Original_Reward,PPO_Reward
-500.0,-70.0
-378.0,-76.0
-157.0,-70.0
-189.0,-95.0
-282.0,-69.0
-500.0,-75.0
-306.0,-95.0
-500.0,-71.0
-282.0,-126.0
-500.0,-85.0
-279.0,-100.0
-257.0,-136.0
-500.0,-73.0
-318.0,-70.0
-353.0,-80.0
-396.0,-63.0
-346.0,-79.0
-235.0,-128.0
-500.0,-169.0
-218.0,-76.0
-284.0,-70.0
-315.0,-71.0
-496.0,-88.0
-367.0,-63.0
-395.0,-82.0
-500.0,-87.0
-425.0,-87.0
-363.0,-75.0
-198.0,-84.0
-266.0,-80.0
-241.0,-82.0
-315.0,-82.0
-416.0,-91.0
-201.0,-84.0
-320.0,-131.0
-352.0,-70.0
-238.0,-71.0
-453.0,-63.0
-500.0,-93.0
-222.0,-75.0
-328.0,-87.0
-350.0,-78.0
-231.0,-62.0
-500.0,-63.0
-321.0,-190.0
-366.0,-70.0
-203.0,-75.0
-300.0,-63.0
-500.0,-71.0
-187.0,-109.0
-453.0,-70.0
-469.0,-94.0
-230.0,-88.0
-343.0,-98.0
-195.0,-76.0
-236.0,-123.0
-500.0,-69.0
-414.0,-500.0
-420.0,-61.0
-174.0,-79.0
-379.0,-87.0
-342.0,-109.0
-329.0,-85.0
-369.0,-77.0
-257.0,-71.0
-500.0,-62.0
-500.0,-89.0
-500.0,-63.0
-340.0,-63.0
-238.0,-70.0
-367.0,-94.0
-214.0,-77.0
-309.0,-84.0
-189.0,-89.0
-427.0,-70.0
-175.0,-70.0
-419.0,-77.0
-227.0,-86.0
-337.0,-61.0
-469.0,-80.0
-500.0,-83.0
-248.0,-63.0
-269.0,-70.0
-464.0,-69.0
-401.0,-75.0
-192.0,-97.0
-500.0,-96.0
-358.0,-61.0
-477.0,-153.0
-500.0,-71.0
-269.0,-180.0
-316.0,-69.0
-316.0,-70.0
-500.0,-70.0
-340.0,-88.0
-500.0,-70.0
-311.0,-63.0
-466.0,-138.0
-253.0,-70.0
-252.0,-71.0
-214.0,-222.0
-383.0,-70.0
-346.0,-71.0
-169.0,-94.0
-289.0,-85.0
-181.0,-75.0
-274.0,-63.0
-224.0,-71.0
-364.0,-70.0
-333.0,-82.0
-500.0,-82.0
-255.0,-77.0
-367.0,-77.0
-407.0,-70.0
-500.0,-62.0
-225.0,-80.0
-500.0,-71.0
-289.0,-78.0
-500.0,-134.0
-343.0,-87.0
-316.0,-109.0
-398.0,-86.0
-500.0,-70.0
-389.0,-95.0
-323.0,-88.0
-500.0,-93.0
-284.0,-82.0
-278.0,-71.0
-309.0,-70.0
-213.0,-63.0
-255.0,-69.0
-324.0,-63.0
-261.0,-74.0
-353.0,-70.0
-463.0,-63.0
-380.0,-70.0
-500.0,-82.0
-337.0,-69.0
-382.0,-87.0
-386.0,-75.0
-500.0,-76.0
-399.0,-69.0
-186.0,-71.0
-202.0,-84.0
-271.0,-96.0
-302.0,-79.0
-299.0,-86.0
-348.0,-63.0
-429.0,-88.0
-500.0,-84.0
-297.0,-75.0
-244.0,-158.0
-307.0,-93.0
-276.0,-85.0
-489.0,-70.0
-202.0,-86.0
-337.0,-89.0
-500.0,-70.0
-500.0,-63.0
-248.0,-74.0
-500.0,-75.0
-239.0,-71.0
-422.0,-75.0
-408.0,-83.0
-206.0,-156.0
-500.0,-96.0
-298.0,-71.0
-363.0,-62.0
-188.0,-73.0
-389.0,-97.0
-266.0,-87.0
-500.0,-70.0
-500.0,-63.0
-308.0,-75.0
-474.0,-81.0
-316.0,-88.0
-343.0,-79.0
-344.0,-87.0
-258.0,-73.0
-184.0,-63.0
-255.0,-93.0
-265.0,-68.0
-313.0,-70.0
-318.0,-76.0
-500.0,-63.0
-283.0,-87.0
-359.0,-75.0
-323.0,-144.0
-213.0,-63.0
-289.0,-70.0
-228.0,-80.0
-500.0,-70.0
-260.0,-92.0
-383.0,-70.0
-294.0,-63.0
-182.0,-70.0
-256.0,-71.0
-369.0,-71.0
-336.0,-162.0
-500.0,-82.0
-268.0,-75.0
-402.0,-83.0
-247.0,-70.0
-500.0,-83.0
-500.0,-77.0
-500.0,-187.0
-254.0,-63.0
-302.0,-71.0
-350.0,-62.0
-288.0,-79.0
-166.0,-82.0
-500.0,-73.0
-500.0,-84.0
-182.0,-86.0
-500.0,-71.0
-271.0,-70.0
-339.0,-102.0
-500.0,-88.0
-209.0,-76.0
-225.0,-63.0
-257.0,-87.0
-204.0,-75.0
-249.0,-77.0
-229.0,-84.0
-369.0,-164.0
-500.0,-70.0
-260.0,-79.0
-500.0,-83.0
-306.0,-70.0
-170.0,-77.0
-343.0,-136.0
-265.0,-82.0
-184.0,-86.0
-500.0,-103.0
-369.0,-70.0
-231.0,-63.0
-470.0,-70.0
-136.0,-71.0
-500.0,-89.0
-500.0,-78.0
-273.0,-70.0
-372.0,-82.0
-315.0,-96.0
-400.0,-84.0
-500.0,-75.0
-345.0,-74.0
-500.0,-85.0
-500.0,-77.0
-254.0,-151.0
-267.0,-70.0
-378.0,-71.0
-232.0,-82.0
-190.0,-103.0
-198.0,-71.0
-230.0,-70.0
-180.0,-99.0
-443.0,-83.0
-329.0,-156.0
-455.0,-88.0
-282.0,-88.0
-500.0,-405.0
-500.0,-62.0
-213.0,-82.0
-290.0,-81.0
-319.0,-70.0
-281.0,-85.0
-443.0,-78.0
-323.0,-92.0
-500.0,-78.0
-259.0,-69.0
-500.0,-70.0
-315.0,-63.0
-500.0,-77.0
-356.0,-69.0
-298.0,-85.0
-306.0,-68.0
-402.0,-88.0
-500.0,-73.0
-446.0,-71.0
-326.0,-62.0
-336.0,-71.0
-366.0,-85.0
-385.0,-87.0
-438.0,-61.0
-500.0,-112.0
-248.0,-87.0
-341.0,-87.0
-500.0,-83.0
-324.0,-75.0
-228.0,-70.0
-390.0,-62.0
-170.0,-77.0
-451.0,-71.0
-296.0,-71.0
-465.0,-71.0
-500.0,-62.0
-240.0,-72.0
-201.0,-70.0
-239.0,-98.0
-246.0,-90.0
-212.0,-61.0
-410.0,-71.0
-311.0,-70.0
-274.0,-71.0
-500.0,-77.0
-267.0,-77.0
-335.0,-77.0
-224.0,-93.0
-500.0,-83.0
-283.0,-70.0
-500.0,-63.0
-281.0,-107.0
-218.0,-81.0
-500.0,-157.0
-339.0,-87.0
-377.0,-87.0
-500.0,-86.0
-282.0,-85.0
-183.0,-61.0
-318.0,-62.0
-282.0,-70.0
-313.0,-81.0
-264.0,-95.0
-500.0,-78.0
-445.0,-101.0
-500.0,-194.0
-317.0,-63.0
-258.0,-71.0
-383.0,-78.0
-196.0,-82.0
-500.0,-83.0
-355.0,-69.0
-312.0,-108.0
-500.0,-139.0
-293.0,-91.0
-190.0,-82.0
-222.0,-91.0
-203.0,-88.0
-287.0,-70.0
-326.0,-163.0
-224.0,-61.0
-248.0,-89.0
-230.0,-70.0
-343.0,-113.0
-386.0,-94.0
-330.0,-68.0
-216.0,-98.0
-357.0,-62.0
-483.0,-75.0
-500.0,-91.0
-291.0,-71.0
-401.0,-77.0
-357.0,-76.0
-500.0,-70.0
-500.0,-63.0
-294.0,-82.0
-276.0,-71.0
-192.0,-70.0
-500.0,-71.0
-500.0,-62.0
-203.0,-79.0
-456.0,-81.0
-460.0,-88.0
-448.0,-68.0
-274.0,-70.0
-187.0,-70.0
-500.0,-70.0
-290.0,-79.0
-500.0,-63.0
-386.0,-146.0
-500.0,-69.0
-500.0,-96.0
-486.0,-70.0
-279.0,-68.0
-252.0,-62.0
-346.0,-61.0
-284.0,-71.0
-268.0,-90.0
-374.0,-94.0
-329.0,-70.0
-201.0,-62.0
-308.0,-63.0
-405.0,-71.0
-288.0,-69.0
-220.0,-69.0
-203.0,-70.0
-314.0,-84.0
-299.0,-73.0
-336.0,-63.0
-500.0,-63.0
-500.0,-82.0
-222.0,-87.0
-273.0,-79.0
-302.0,-62.0
-359.0,-87.0
-210.0,-63.0
-245.0,-70.0
-277.0,-87.0
-250.0,-70.0
-331.0,-82.0
-419.0,-82.0
-246.0,-69.0
-208.0,-108.0
-251.0,-92.0
-500.0,-70.0
-273.0,-84.0
-241.0,-70.0
-347.0,-78.0
-229.0,-71.0
-231.0,-142.0
-315.0,-70.0
-407.0,-70.0
-188.0,-75.0
-500.0,-83.0
-213.0,-61.0
-325.0,-63.0
-263.0,-61.0
-295.0,-77.0
-460.0,-61.0
-266.0,-82.0
-500.0,-82.0
-196.0,-70.0
-500.0,-88.0
-394.0,-81.0
-261.0,-76.0
-404.0,-76.0
-275.0,-78.0
-233.0,-63.0
-288.0,-83.0
-500.0,-92.0
-144.0,-70.0
-359.0,-104.0
-240.0,-69.0
